Product A Index,Product A,Product B Index,Product B,Similarity,CrossEncoder_Score
11,"SUNTORY Suntory - 【Full Case 24 Btls】IYEMON Kyoto Strong Green Tea 600ml (Japanese beverage, direct from Japan) 600mlx24",57,"SUNTORY Suntory - 【Full Case 24 Btls】IYEMON Kyoto Green Tea 600ml (Japanese beverage, direct from Japan)BBD2026/09/30 600mlx24",0.9686322808265686,1.5876185894012451
365,ROBIFF Robiff - Robiff Oolong Tea_ Full Case (900ml x 12) 900mlx12,636,ROBIFF Robiff - Robiff Oolong Tea 900ml x 12 900mlx12,0.917680025100708,1.5543965101242065
192,ROBIFF Robiff - [Full Case] Robiff Oolong Tea 500ml x 24 bottles 4891379161289 500mlx24,501,ROBIFF Robiff - Robiff Oolong Tea 500ml x 24 bottles 4891379161289 500mlx24,1.0,1.5224350690841675
103,VITASOY Vitasoy - Vitasoy Low Sugar Soya Bean Milk 250ml x 6 x 4 Packs (Packing Randomly Delivery) 250mlx6,105,VITASOY Vitasoy - Vitasoy Soya Bean Milk 250ml x 6 x 4 Packs (Packing Randomly Delivery) 250mlx6,0.9210129976272584,1.510435938835144
138,ROBIFF Robiff - [Full Case] Robiff Oolong Tea 900ml x 12 900mlx12,636,ROBIFF Robiff - Robiff Oolong Tea 900ml x 12 900mlx12,0.9306079745292664,1.4521195888519287
219,KAGOME KAGOME - Kagome Japan Made 100% Vegetable Fruit Mix Juice Original Paper Pack - Full Case 200ml - 7921 200mlx24,248,KAGOME KAGOME - Kagome Japan Made 100% Veg Fruit Mix Juice Berry Salad Paper Pack - Full Case 200ml Parallel Import 200mlx24,0.9168792366981506,1.4410818815231323
129,HIGHLAND SPRING Highland Spring - [Direct from UK] [FULL CASE] Still Water 1.5L x 6 x2 5lx6,421,HIGHLAND SPRING Highland Spring - [Direct from UK] [FULL CASE] Still Water 1.5L x 6 x4 5lx6,1.0000001192092896,1.2638014554977417
658,VITA Vita - Vita - Full Case Zero Sugar Lemon Tea (330ml ) x 24 330mlx24,853,VITA Vita - Vita - Full Case Low Sugar Lemon Tea (330ml ) x 24 330mlx24,0.9188326001167296,1.2501375675201416
219,KAGOME KAGOME - Kagome Japan Made 100% Vegetable Fruit Mix Juice Original Paper Pack - Full Case 200ml - 7921 200mlx24,544,KAGOME KAGOME - Kagome Japan Made 100% Vegetable Fruit Mix Juice Mango Salad Paper Pack - Full Case 200ml - 0152 200mlx24,0.9016496539115906,1.2376936674118042
219,KAGOME KAGOME - Kagome Japan Made 100% Vegetable Fruit Mix Juice Original Paper Pack - Full Case 200ml - 7921 200mlx24,331,KAGOME KAGOME - Kagome Japan Made 100% Vegetable Fruit Mix Juice Apple Salad Paper Pack - Full Case 200ml - 0183 200mlx24,0.9206741452217102,1.120712399482727
589,NONGFU SPRING Nongfu Spring - Nongfu Spring Natural Drinking Water (Suitable for Infants and Young Children) - Original Box 12x1L 1lx12,692,NONGFU SPRING Nongfu Spring - Nongfu Spring Natural Drinking Water (Suitable for Infants and Young Children) - Original Box 12x1L 1lx12,0.9999999403953552,1.1165207624435425
30,"SUNTORY Suntory - 【Full Case 6 Btls】IYEMON Kyoto Strong Green Tea 2L (Japanese beverage, Parallel Import)BBD2027/01/31 2lx6",68,"SUNTORY Suntory - 【Full Case 6 Btls】Oolong Tea 2L (Japanese Beverage, Parallel Import)BBD026/11/30 2lx6",0.9075077176094056,1.0376982688903809
27,"SUNTORY Suntory - 【Full Case 6 Btls】IYEMON Kyoto Green Tea 2L (Japanese Beverage, Direct from Japan, Parallel Import) 2lx6",30,"SUNTORY Suntory - 【Full Case 6 Btls】IYEMON Kyoto Strong Green Tea 2L (Japanese beverage, Parallel Import)BBD2027/01/31 2lx6",0.9035392999649048,1.0065220594406128
339,SINGHA SINGHA - (Glass Bottle) Singha Soda Water - Full Case 325ml (Random Packing) 325mlx24,577,SINGHA SINGHA - (Glass Bottle) Singha Soda Water - Full Case 24x325ml (Random Packing) 325mlx24,1.0000001192092896,1.0057851076126099
